data;pib
01/01/96;189323
01/04/96;204611
01/07/96;221513
01/10/96;239316
01/01/97;219117
01/04/97;232890
01/07/97;246178
01/10/97;253904
01/01/98;235701
01/04/98;251936
01/07/98;258043
01/10/98;256671
01/01/99;250668
01/04/99;268709
01/07/99;274126
01/10/99;294208
01/01/00;276927
01/04/00;292789
01/07/00;308896
01/10/00;320481
01/01/01;312470
01/04/01;323724
01/07/01;332524
01/10/01;347038
01/01/02;342297
01/04/02;367363
01/07/02;379795
01/10/02;399333
01/01/03;397242
01/04/03;418987
01/07/03;439350
01/10/03;462372
01/01/04;444783
01/04/04;481795
01/07/04;505252
01/10/04;525920
01/01/05;499710
01/04/05;535557
01/07/05;552859
01/10/05;582458
01/01/06;554270
01/04/06;581977
01/07/06;617848
01/10/06;655355
01/01/07;631423
01/04/07;670655
01/07/07;691846
01/10/07;726339
01/01/08;712055
01/04/08;769525
01/07/08;812603
01/10/08;815620
01/01/09;756127
01/04/09;803577
01/07/09;852843
01/10/09;920492
01/01/10;886397
01/04/10;944145
01/07/10;997935
01/10/10;1057370
01/01/11;1016531
01/04/11;1086712
01/07/11;1112334
01/10/11;1160804
01/01/12;1129473
01/04/12;1183124
01/07/12;1230449
01/10/12;1271714
01/01/13;1241621
01/04/13;1322586
01/07/13;1354132
01/10/13;1413279
01/01/14;1385942
01/04/14;1422288
01/07/14;1462134
01/10/14;1508590
01/01/15;1456810
01/04/15;1480052
01/07/15;1508182
01/10/15;1550743
01/01/16;1499348
01/04/16;1558209
01/07/16;1576776
01/10/16;1632872
01/01/17;1583534
01/04/17;1626745
01/07/17;1639578
01/10/17;1703986
01/01/18;1644718
01/04/18;1687047
01/07/18;1716166
01/10/18;1779655
01/01/19;1713616
01/04/19;1780272
